subject	grade_level	year	First Time Or Re-Test	score	score_level	multiple_choice	constructed_response	gender	ethnicity	iep	poverty	underperforming_subgroup	recently enrolled	enrolled_year_ago	type	teacher_number
1	5	2015	1	1483	2	21	6	2	5	1	1	1	1	1	1	2
1	6	2014	1	1496	2	22	9	2	5	1	1	1	1	2	4	53
1	6	2015	1	1528	3	27	12	2	5	1	2	2	1	2	1	1
1	6	2015	1	1558	4	32	14	1	5	1	1	1	1	2	1	1
1	6	2014	1	1565	4	30	17	1	9	1	1	1	1	1	3	19
1	6	2015	1	1638	4	34	22	1	9	1	1	1	1	1	1	2
1	7	2014	1	1402	1	10	1	1	5	1	1	1	2	1	4	52
1	7	2013	1	1418	1	10	2	2	5	1	2	2	1	1	3	19
1	7	2015	1	1444	2	15	3	2	5	1	1	1	1	1	4	56
1	7	2015	1	1449	2	17	2	2	5	1	1	1	1	2	1	1
1	7	2014	1	1450	2	16	4	2	5	1	1	1	1	1	4	50
1	7	2013	1	1458	2	13	7	2	5	1	2	2	1	1	3	19
1	7	2016	1	1464	2	17	6	1	4	1	2	2	1	1	4	57
1	7	2013	1	1470	2	19	4	1	5	1	2	2	1	1	3	19
1	7	2016	1	1472	2	20	5	1	5	1	1	1	1	1	1	15
1	7	2014	1	1472	2	18	7	2	5	1	1	1	2	1	3	19
1	7	2014	1	1472	2	22	3	2	5	1	2	2	1	1	4	53
1	7	2013	1	1474	2	14	10	2	5	1	1	1	1	2	4	40
1	7	2015	1	1475	2	20	5	1	5	1	1	1	1	1	1	1
1	7	2015	1	1475	2	21	4	1	6	1	1	1	1	1	1	1
1	7	2013	1	1481	2	17	9	2	5	1	1	1	1	2	4	40
1	7	2015	1	1483	2	19	8	1	5	1	1	1	1	1	4	61
1	7	2016	1	1484	2	21	7	2	6	1	1	1	1	1	1	3
1	7	2014	1	1484	2	19	9	1	5	1	1	1	1	1	3	19
1	7	2014	1	1488	2	21	8	1	5	1	1	1	1	2	3	19
1	7	2014	1	1488	2	20	9	1	5	1	1	1	1	1	4	51
1	7	2013	1	1489	2	20	8	2	5	1	2	2	1	2	3	19
1	7	2013	1	1489	2	21	7	1	5	2	2	2	1	1	4	38
1	7	2015	1	1491	2	22	7	1	5	1	2	2	1	1	1	1
1	7	2014	1	1492	2	22	8	1	5	1	1	1	1	1	4	39
1	7	2014	1	1496	2	22	9	2	5	1	1	1	1	1	3	19
